0	0.5	1
1	1.5	1
0	1	1
2	2.5	1
1	2	1
3	3.5	1
2	3	1
4	4.5	1
3	4	1
4	5.5	1
4	5	1
0	0.5	2
1	1.5	2
0	1	2
2	2.5	2
1	2	2
3	3.5	2
2	3	2
4	4.5	2
3	4	2
8	5.5	2
5	5	2
0	0.5	3
1	1.5	3
0	1	3
2	2.5	3
1	2	3
5	3.5	3
3	3	3
90	4.5	3
19	4	3
168	5.5	3
124	5	3
0	0.5	4
1	1.5	4
0	1	4
3	2.5	4
1	2	4
117	3.5	4
39	3	4
235	4.5	4
173	4	4
301	5.5	4
263	5	4
0	0.5	5
1	1.5	5
0	1	5
37	2.5	5
2	2	5
213	3.5	5
154	3	5
315	4.5	5
267	4	5
368	5.5	5
336	5	5
0	0.5	6
1	1.5	6
0	1	6
148	2.5	6
31	2	6
291	3.5	6
243	3	6
375	4.5	6
330	4	6
417	5.5	6
395	5	6
0	0.5	7
2	1.5	7
0	1	7
216	2.5	7
115	2	7
333	3.5	7
290	3	7
407	4.5	7
372	4	7
450	5.5	7
427	5	7
0	0.5	8
28	1.5	8
0	1	8
3	2.5	8
173	2	8
366	3.5	8
328	3	8
433	4.5	8
402	4	8
471	5.5	8
452	5	8
0	0.5	9
1	1.5	9
1	1	9
308	2.5	9
226	2	9
398	3.5	9
366	3	9
4	4.5	9
432	4	9
491	5.5	9
476	5	9
0	0.5	10
146	1.5	10
1	1	10
341	2.5	10
268	2	10
424	3.5	10
393	3	10
479	4.5	10
455	4	10
508	5.5	10
494	5	10
